incident_date,city,state,description,plan,citatation
7/29/2015,shiloh,il,Worker killed when riding mower tipped over and caught fire.  ,unknown,unknown
7/29/2015,lexington,ky,Worker killed in vehicle collision.,unknown,unknown
7/28/2015,ullin,il,Worker killed in fall from a scissor lift. ,unknown,unknown
7/28/2015,rock of points,wy,Worker killed in fall from scaffolding.,unknown,unknown
7/28/2015,richboro,pa,Worker removing trees fataly crused by boom truck.,unknown,unknown
7/28/2015,ladysmith,wi,Worker killed in motor vehicle collision.,unknown,unknown
7/27/2015,mount pleasant,ar,Worker killed when ATV struck tree.,unknown,unknown
7/27/2015,watford city,nd,Worker killed in motor vehicle collision.,unknown,unknown
7/27/2015,raleigh,nc,Worker fatally crushed by slab of granite that fell off truck.,unknown,unknown
7/27/2015,buhl,id,Worker killed when ATV rolled over. ,unknown,unknown
7/27/2015,batimore,md,Worker killed in fall when section of form work gave way.,unknown,unknown
7/27/2015,fresno,ca,Worker electrocuted while trimming trees when cherry picker contacted power line.,unknown,unknown
7/26/2015,lewisburg,tn,Worker struck and killed by hose.,unknown,unknown
7/25/2015,soda springs,id,Worker fatally crushed between drill rig and pickup truck.,unknown,unknown
7/25/2015,san jose,ca,Worker killed in fall from metal trellis.,unknown,unknown
7/24/2015,bay city,tx,Worker killed in fall from trailer.,unknown,unknown
7/24/2015,parshall,co,Worker killed by hydraulic arms of skid-steer.,unknown,unknown
7/24/2015,midlothian,tx,Worker killed in fall while repositioning motor.,unknown,unknown
7/24/2015,atlantic beach,fl,Worker trimming palm fronds killed in fall.,unknown,unknown
7/24/2015,jacksonville,nc,Worker struck and killed by drunk driver.,unknown,unknown
7/24/2015,castroville,ca,Worker struck and killed by hose.,unknown,unknown
7/24/2015,hebron,ky,Worker fatally crushed when  mower rolled over.,unknown,unknown
7/24/2015,beverly hills,ca,Worker drowned in swimming pool.,unknown,unknown
7/23/2015,salt lake city,ut,Worker killed in fall from upper level of freezer.,unknown,unknown
7/23/2015,dacoma,ok,Worker fatally crushed by service rig. ,unknown,unknown
7/23/2015,last chance,co,Worker installing reflective tabs in highway struck and killed by motor vehicle.,unknown,unknown
7/23/2015,spring lake,nc,Worker electrocuted while moving power lines.,unknown,unknown
7/23/2015,prior lake,mn,Worker fatally crushed when trailer tipped over during painting.,unknown,unknown
7/23/2015,knoxville,tn,Worker struck and killed by felled tree.,unknown,unknown
7/22/2015,cottondale,al,Worker killed in fall from roof. ,unknown,unknown
7/22/2015,yula city,ca,Worker drowned when tractor went into canal.,unknown,unknown
7/22/2015,converse,wy,Worker struck and killed by falling tree.,unknown,unknown
7/21/2015,otto,nc,Worker struck and killed by car that fell from lift.,unknown,unknown
7/21/2015,whitesburg,ky,Worker struck and killed by felled tree.,unknown,unknown
7/21/2015,vermontville,mi,Worker killed when clothes became entangled in shaft of hay bale elevator.,unknown,unknown
7/20/2015,osseo,wi,Worker killed in fall from ladder.,unknown,unknown
7/20/2015,bradenton,fl,Worker drowned when lawn mower tipped over into retention pond.    ,unknown,unknown
7/20/2015,bessemer,al,Worker pinned and fatally crushed under pipe fitting.  ,unknown,unknown
7/20/2015,pleasanton,ca,Worker killed in fall from roof.,unknown,unknown
7/19/2015,fort myers,fl,Worker fatally crushed between table lift and golf cart.,unknown,unknown
7/19/2015,malden,ma,Worker at car wash struck and killed by vehicle.,unknown,unknown
7/18/2015,compton,ca,Worker killed in fall from roof.,unknown,unknown
